User_id,Gender,Age,Preferred_PL,Known_PL,way_of_learning,contest,Goal,Resource,Role,Internship,Workshop_rating,algorithm,Data_structure,no_of_contest_win,hours_spent,projects_based_on,c,python,java,c_plus,C_sh,F_sh,java_script,html,ruby,web,research,data_science,back_end,big_data,app,paper_presentation,operating_system
77,Male,21,PYTHON,"C, PYTHON, JAVA, C++",LIVE TEACHING,Online coding contest,Practicing Coding Skills,Hackerrank,Software developer,yes,1,10,10,0,2,"web designing,back end designing,research project,paper presentation",yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no
78,Male,21,PYTHON,"C, PYTHON, JAVA, JAVASCRIPT, HTML",LIVE TEACHING,Live coding contest,Full time job,Hackerrank,Data scientist,yes,0,10,10,0,3,"web designing,data analytics",yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no
79,Male,20,C,"C, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Live coding contest,Full time job,Codechef,Web Developer,yes,0,8,10,0,4,web designing.big data,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no
80,Male,21,PYTHON,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Full time job,Hackerearth,Data scientist,yes,4,9,9,0,5,"web designing,big data",yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no
81,Male,21,JAVA,"C, PYTHON, JAVA, HTML",LIVE TEACHING,Live coding contest,Full time job,Hackerrank,Software developer,no,3,9,9,0,6,"web designing,app development",yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no
82,Male,21,PYTHON,"C, PYTHON, JAVA, JAVASCRIPT, HTML",ONLINE,Online coding contest,Practicing Coding Skills,Hackerrank,Data scientist,yes,2,8,10,0,4,web designing,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no
83,Male,19,PYTHON,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Live coding contest,Full time job,Others,Web Developer,yes,3,8,8,0,3,"web designing,back end designing",yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no
84,Female,21,JAVA,"C, PYTHON, JAVA, JAVASCRIPT, HTML",ONLINE,Online coding contest,Full time job,Hackerrank,Software developer,yes,4,9,9,0,7,"web designing,big data",yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no
85,Male,21,PYTHON,"C, PYTHON, JAVA, JAVASCRIPT",LIVE TEACHING,Online coding contest,Practicing Coding Skills,Hackerrank,Software developer,yes,4,9,9,1,5,"web designing,app development,operating system",yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes
86,Male,20,C++,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Full time job,MOOCS,Data scientist,yes,3,10,9,0,6,web designing,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no
87,Male,21,C++,"C, PYTHON, JAVA, C++, JAVASCRIPT, HTML",ONLINE,Online coding contest,Practicing Coding Skills,Hackerrank,Software developer,yes,3,9,9,0,4,"web designing,big data",yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no
88,Male,21,JAVA,"C, PYTHON, JAVA, C++, C#, JAVASCRIPT, HTML",ONLINE,Online coding contest,Full time job,Coursera,Data scientist,yes,0,8,10,1,2,"web designing,research project,data analytics",yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no
89,Male,21,PYTHON,"C, PYTHON, JAVA, JAVASCRIPT, HTML",LIVE TEACHING,Online coding contest,Practicing Coding Skills,Edx,Mobile app developer,no,0,8,8,0,3,"web designing,data analytics",yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no
90,Male,20,OTHERS,F#,ONLINE,Live coding contest,Practicing Coding Skills,Others,Backend web developer,no,0,5,10,0,4,"web designing,research project,data analytics",yes,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no
91,Male,20,C++,"C, PYTHON, JAVA, C++",ONLINE,Online coding contest,Practicing Coding Skills,Codechef,Web Developer,yes,4,9,9,1,4,"web designing,back end designing,research project,big data,data analytics",yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no
